source,image,old_class_id,old_class_ko,cx,cy,w,h,area,edges_touched,flags,is_representative
6ban,A1_B1_P6_2022-05-12_IR1_00019,15,분기 접촉부,0.0307,0.6221,0.0612,0.5805,0.03552,1,프레임접촉x1,0
6ban,A1_B1_P6_2022-05-12_IR1_00020,15,분기 접촉부,0.0629,0.5908,0.1257,0.6383,0.08023,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00020,15,분기 접촉부,0.4795,0.6485,0.113,0.7029,0.07945,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00020,17,VCB 접촉부,0.2877,0.9562,0.0578,0.0875,0.00506,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00020,17,VCB 접촉부,0.6233,0.96,0.0578,0.08,0.00462,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00021,15,분기 접촉부,0.4586,0.6962,0.1141,0.6075,0.0693,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00021,15,분기 접촉부,0.0512,0.6556,0.1019,0.5213,0.05312,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00022,15,분기 접촉부,0.4613,0.6797,0.1192,0.6397,0.07622,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00023,15,분기 접촉부,0.576,0.7126,0.123,0.5748,0.07072,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00024,15,분기 접촉부,0.5413,0.6975,0.112,0.5996,0.06714,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00028,15,분기 접촉부,0.0256,0.2504,0.0512,0.5008,0.02565,2,프레임접촉x2,1
6ban,A1_B1_P6_2022-05-12_IR1_00035,15,분기 접촉부,0.7214,0.696,0.1143,0.608,0.06949,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00035,15,분기 접촉부,0.0879,0.6705,0.1758,0.4823,0.08478,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00036,15,분기 접촉부,0.2421,0.6641,0.1143,0.6715,0.07673,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00038,15,분기 접촉부,0.2894,0.6101,0.2167,0.7797,0.16895,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00039,17,VCB 접촉부,0.0423,0.7722,0.0811,0.1393,0.01129,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00046,15,분기 접촉부,0.1192,0.5091,0.2347,0.8308,0.19503,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00052,15,분기 접촉부,0.0589,0.5716,0.1171,0.6847,0.0802,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-06-17_IR1_00007,15,분기 접촉부,0.8281,0.6632,0.1025,0.671,0.06875,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-06-17_IR1_00007,15,분기 접촉부,0.475,0.6645,0.1055,0.6634,0.06999,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-06-17_IR1_00008,15,분기 접촉부,0.8068,0.701,0.1,0.5923,0.05921,1,프레임접촉x1,0
6ban,A1_B1_P6_2022-06-17_IR1_00008,15,분기 접촉부,0.4693,0.7066,0.0984,0.5807,0.05713,1,프레임접촉x1,0
6ban,A1_B1_P6_2022-06-17_IR1_00009,15,분기 접촉부,0.8493,0.7099,0.087,0.5781,0.0503,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-06-17_IR1_00009,15,분기 접촉부,0.5255,0.7086,0.0797,0.5827,0.04646,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-06-17_IR1_00010,15,분기 접촉부,0.5155,0.7073,0.1298,0.5855,0.07602,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-06-17_IR1_00011,15,분기 접촉부,0.5064,0.7214,0.1118,0.5547,0.06203,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-06-17_IR1_00012,15,분기 접촉부,0.5333,0.7273,0.1014,0.54,0.05476,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-06-17_IR1_00013,15,분기 접촉부,0.7652,0.4044,0.1495,0.8022,0.11993,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-06-17_IR1_00016,15,분기 접촉부,0.6188,0.3022,0.0867,0.6044,0.05239,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-06-17_IR1_00017,15,분기 접촉부,0.8407,0.9639,0.1314,0.0713,0.00937,1,프레임접촉x1 동일클래스중첩,1
6ban,A1_B1_P6_2022-06-17_IR1_00017,15,분기 접촉부,0.8276,0.9543,0.1166,0.0915,0.01066,1,프레임접촉x1,1
6ban,A1_B2_P6_2022-05-12_IR1_00021,17,VCB 접촉부,0.0256,0.6963,0.0504,0.1391,0.00701,1,프레임접촉x1,0
6ban,A1_B2_P6_2022-05-12_IR1_00024,15,분기 접촉부,0.4131,0.6794,0.1607,0.6361,0.10223,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00001,15,분기 접촉부,0.7671,0.9721,0.0864,0.054,0.00467,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00003,15,분기 접촉부,0.4852,0.7059,0.0771,0.5882,0.04535,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00004,15,분기 접촉부,0.6381,0.6991,0.1519,0.5991,0.09099,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00005,15,분기 접촉부,0.5367,0.7848,0.1067,0.4304,0.04592,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00006,15,분기 접촉부,0.7354,0.7691,0.0718,0.4617,0.03314,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00006,15,분기 접촉부,0.42,0.7574,0.0718,0.4851,0.03482,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00007,15,분기 접촉부,0.4661,0.7473,0.0919,0.5054,0.04643,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00007,15,분기 접촉부,0.7757,0.7718,0.1208,0.4563,0.05515,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00014,15,분기 접촉부,0.3,0.7518,0.1036,0.4964,0.05143,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00016,15,분기 접촉부,0.7198,0.7595,0.0979,0.4762,0.04662,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00023,15,분기 접촉부,0.0231,0.6577,0.0457,0.6089,0.02786,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00025,15,분기 접촉부,0.0236,0.6088,0.0472,0.498,0.0235,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00026,15,분기 접촉부,0.0261,0.7231,0.0509,0.4437,0.0226,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00027,15,분기 접촉부,0.0242,0.5558,0.0484,0.2492,0.01207,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00029,15,분기 접촉부,0.0213,0.6649,0.0423,0.5011,0.02119,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00032,15,분기 접촉부,0.3554,0.3268,0.0755,0.6487,0.04898,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00033,15,분기 접촉부,0.6385,0.184,0.0686,0.3679,0.02525,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00033,15,분기 접촉부,0.343,0.1916,0.0576,0.381,0.02195,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00036,15,분기 접촉부,0.356,0.1926,0.0916,0.3852,0.03528,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00036,15,분기 접촉부,0.6577,0.1885,0.0916,0.3769,0.03452,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00037,15,분기 접촉부,0.6557,0.1903,0.0916,0.3806,0.03487,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00037,15,분기 접촉부,0.3494,0.1619,0.0526,0.3238,0.01703,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00038,15,분기 접촉부,0.6567,0.3031,0.081,0.6062,0.04911,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00039,15,분기 접촉부,0.4165,0.3241,0.0961,0.6437,0.06184,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00040,15,분기 접촉부,0.668,0.1692,0.0916,0.3385,0.03101,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00041,15,분기 접촉부,0.3842,0.1734,0.0916,0.3467,0.03177,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00043,17,VCB 접촉부,0.4284,0.9694,0.0663,0.0613,0.00406,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00049,17,VCB 접촉부,0.6973,0.0411,0.0493,0.0823,0.00406,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00054,15,분기 접촉부,0.8323,0.0412,0.0795,0.0825,0.00656,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00060,17,VCB 접촉부,0.5436,0.0436,0.0336,0.0845,0.00284,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00060,17,VCB 접촉부,0.3805,0.0543,0.0557,0.1087,0.00605,1,프레임접촉x1,1
6ban,A1_B3_P6_2022-05-24_IR1_00073,15,분기 접촉부,0.0306,0.5675,0.0613,0.6027,0.03693,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00012,15,분기 접촉부,0.6403,0.9209,0.1132,0.1578,0.01787,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00015,15,분기 접촉부,0.3286,0.9286,0.1159,0.141,0.01634,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00021,15,분기 접촉부,0.7732,0.939,0.0926,0.1186,0.01098,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00023,15,분기 접촉부,0.2608,0.9223,0.1192,0.1545,0.01841,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00024,15,분기 접촉부,0.77,0.8902,0.0968,0.2153,0.02084,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00025,15,분기 접촉부,0.2554,0.9104,0.1327,0.1784,0.02366,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00026,15,분기 접촉부,0.3401,0.8884,0.1334,0.2228,0.02972,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00027,15,분기 접촉부,0.2605,0.7261,0.1202,0.5475,0.06584,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00029,15,분기 접촉부,0.2227,0.7875,0.1172,0.4249,0.04982,1,프레임접촉x1,0
6ban,A2_B1_P6_2022-06-03_IR1_00029,15,분기 접촉부,0.7046,0.7953,0.1009,0.4094,0.0413,1,프레임접촉x1,0
6ban,A2_B1_P6_2022-06-03_IR1_00030,15,분기 접촉부,0.3596,0.8238,0.0979,0.3494,0.0342,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00031,15,분기 접촉부,0.6615,0.7898,0.1075,0.4204,0.04518,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00036,15,분기 접촉부,0.4922,0.6827,0.1159,0.6281,0.07278,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00037,15,분기 접촉부,0.4619,0.6374,0.119,0.7208,0.08577,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00038,15,분기 접촉부,0.4888,0.736,0.099,0.5279,0.05226,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00039,15,분기 접촉부,0.5695,0.7273,0.1327,0.5402,0.07169,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00040,15,분기 접촉부,0.0592,0.6662,0.1185,0.5057,0.05991,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00040,15,분기 접촉부,0.4938,0.6913,0.1311,0.6175,0.08096,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00041,15,분기 접촉부,0.4918,0.7142,0.1045,0.5716,0.05971,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00043,15,분기 접촉부,0.7865,0.6901,0.1007,0.6189,0.06231,1,프레임접촉x1,0
6ban,A2_B1_P6_2022-06-03_IR1_00046,15,분기 접촉부,0.4761,0.6905,0.1155,0.6132,0.07081,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00047,15,분기 접촉부,0.5172,0.69,0.0992,0.6192,0.0614,1,프레임접촉x1,0
6ban,A2_B1_P6_2022-06-03_IR1_00048,15,분기 접촉부,0.5272,0.6738,0.1274,0.6484,0.08259,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00050,15,분기 접촉부,0.8318,0.7551,0.1209,0.4825,0.05835,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00050,15,분기 접촉부,0.4905,0.7169,0.1114,0.5599,0.06236,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00051,15,분기 접촉부,0.7351,0.9231,0.0707,0.1525,0.01078,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00051,15,분기 접촉부,0.3037,0.8891,0.0717,0.2219,0.0159,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00054,15,분기 접촉부,0.0383,0.5028,0.0755,0.615,0.04643,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00056,15,분기 접촉부,0.498,0.6634,0.1267,0.6731,0.08529,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00057,15,분기 접촉부,0.4361,0.704,0.127,0.5885,0.07476,1,프레임접촉x1,0
6ban,A2_B1_P6_2022-06-03_IR1_00058,15,분기 접촉부,0.4683,0.6864,0.1143,0.6269,0.07162,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00061,15,분기 접촉부,0.8348,0.7469,0.0934,0.5015,0.04684,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00063,15,분기 접촉부,0.4667,0.7235,0.1208,0.5493,0.06636,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00063,15,분기 접촉부,0.8215,0.757,0.1133,0.4788,0.05426,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00064,15,분기 접촉부,0.4648,0.6434,0.1003,0.7132,0.07154,1,프레임접촉x1,0
6ban,A2_B1_P6_2022-06-03_IR1_00067,15,분기 접촉부,0.5273,0.6986,0.0887,0.6028,0.05344,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00069,15,분기 접촉부,0.4891,0.7272,0.095,0.5456,0.05185,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00070,15,분기 접촉부,0.4796,0.6898,0.1158,0.6155,0.07124,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00071,15,분기 접촉부,0.503,0.7455,0.0953,0.5039,0.04803,1,프레임접촉x1,0
6ban,A2_B1_P6_2022-06-03_IR1_00072,15,분기 접촉부,0.519,0.7407,0.0771,0.5187,0.03999,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00074,15,분기 접촉부,0.4263,0.681,0.1175,0.6358,0.07468,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00079,15,분기 접촉부,0.6628,0.4137,0.172,0.8204,0.14111,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00081,15,분기 접촉부,0.811,0.2926,0.2151,0.5835,0.12551,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00084,15,분기 접촉부,0.5503,0.8887,0.0546,0.2226,0.01215,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00084,15,분기 접촉부,0.7825,0.8982,0.0546,0.2035,0.01111,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00084,15,분기 접촉부,0.332,0.8868,0.0546,0.2265,0.01236,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00086,15,분기 접촉부,0.503,0.7196,0.1078,0.5608,0.06047,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00086,15,분기 접촉부,0.0408,0.6695,0.0811,0.4848,0.0393,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00087,15,분기 접촉부,0.497,0.7306,0.1257,0.5388,0.06772,1,프레임접촉x1,0
6ban,A2_B1_P6_2022-06-03_IR1_00089,15,분기 접촉부,0.499,0.674,0.1333,0.652,0.08688,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00089,15,분기 접촉부,0.0179,0.6059,0.0357,0.606,0.02167,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00100,15,분기 접촉부,0.0712,0.5945,0.1423,0.6456,0.09189,1,프레임접촉x1,1
6ban,A2_B1_P6_2022-06-03_IR1_00100,15,분기 접촉부,0.4756,0.632,0.1025,0.7359,0.07545,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00002,22,MCCB 접촉부,0.7011,0.8948,0.0639,0.2105,0.01344,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00002,22,MCCB 접촉부,0.472,0.8997,0.0639,0.2007,0.01282,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00002,22,MCCB 접촉부,0.8511,0.9917,0.0639,0.0166,0.00106,1,프레임접촉x1 초소형,1
9ban,A1_B1_P9_2022-05-12_IR1_00002,21,MCCB,0.5852,0.8926,0.2947,0.2147,0.06328,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00003,21,MCCB,0.3402,0.0497,0.0633,0.0984,0.00623,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00003,22,MCCB 접촉부,0.3472,0.052,0.0441,0.104,0.00459,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00003,22,MCCB 접촉부,0.7678,0.0366,0.0356,0.0725,0.00258,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00003,21,MCCB,0.664,0.0385,0.2552,0.0762,0.01944,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00003,22,MCCB 접촉부,0.5584,0.0297,0.0414,0.0594,0.00246,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00026,21,MCCB,0.5389,0.9402,0.394,0.1197,0.04715,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00026,22,MCCB 접촉부,0.3766,0.943,0.0663,0.1136,0.00752,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00026,22,MCCB 접촉부,0.7048,0.948,0.0527,0.1033,0.00544,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00027,22,MCCB 접촉부,0.6921,0.9619,0.0432,0.0755,0.00326,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00027,21,MCCB,0.5332,0.9527,0.3652,0.0946,0.03454,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00029,22,MCCB 접촉부,0.3749,0.9352,0.0467,0.128,0.00597,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00029,21,MCCB,0.5436,0.9359,0.3926,0.1283,0.05036,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00030,22,MCCB 접촉부,0.2604,0.8582,0.057,0.2808,0.01602,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00030,21,MCCB,0.4309,0.8447,0.4041,0.3105,0.12548,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00030,22,MCCB 접촉부,0.5889,0.8495,0.0801,0.301,0.0241,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00031,21,MCCB,0.4652,0.8205,0.4042,0.3564,0.14405,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00031,22,MCCB 접촉부,0.633,0.825,0.0801,0.3439,0.02754,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00031,22,MCCB 접촉부,0.3091,0.8302,0.0801,0.3396,0.0272,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00032,21,MCCB,0.5091,0.8709,0.3882,0.2579,0.10012,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00032,22,MCCB 접촉부,0.3521,0.8844,0.0738,0.2281,0.01684,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00033,21,MCCB,0.5069,0.9245,0.3867,0.151,0.05839,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00033,22,MCCB 접촉부,0.3441,0.9365,0.0892,0.127,0.01133,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00033,22,MCCB 접촉부,0.6724,0.9397,0.058,0.1205,0.00699,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00034,22,MCCB 접촉부,0.369,0.8236,0.0892,0.3527,0.03146,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00034,21,MCCB,0.5179,0.8161,0.3769,0.3649,0.13754,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00035,22,MCCB 접촉부,0.6895,0.8607,0.0545,0.272,0.01482,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00035,21,MCCB,0.5573,0.849,0.325,0.3018,0.09811,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00035,22,MCCB 접촉부,0.4329,0.8494,0.0754,0.3012,0.02271,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00036,22,MCCB 접촉부,0.5754,0.8421,0.0658,0.3117,0.02052,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00036,21,MCCB,0.4374,0.8335,0.3528,0.3325,0.1173,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00036,22,MCCB 접촉부,0.2906,0.8361,0.0607,0.3242,0.0197,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00037,22,MCCB 접촉부,0.3388,0.869,0.0498,0.2599,0.01294,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00037,21,MCCB,0.4813,0.8737,0.3334,0.2522,0.08411,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00037,22,MCCB 접촉부,0.6148,0.8869,0.0561,0.2263,0.01268,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00037,21,MCCB,0.0779,0.526,0.1556,0.3549,0.05521,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00038,22,MCCB 접촉부,0.6407,0.911,0.0478,0.1762,0.00843,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00038,21,MCCB,0.4937,0.8957,0.355,0.2086,0.07405,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00038,21,MCCB,0.0482,0.5984,0.0963,0.395,0.03805,1,프레임접촉x1,0
9ban,A1_B1_P9_2022-05-12_IR1_00039,21,MCCB,0.4564,0.8962,0.3602,0.2075,0.07476,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00039,22,MCCB 접촉부,0.3073,0.9083,0.0653,0.1835,0.01197,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00039,22,MCCB 접촉부,0.6045,0.8935,0.0653,0.2129,0.01389,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00040,22,MCCB 접촉부,0.3804,0.9002,0.0476,0.1962,0.00933,1,프레임접촉x1,1
9ban,A1_B1_P9_2022-05-12_IR1_00040,21,MCCB,0.0484,0.5959,0.0967,0.3757,0.03634,1,프레임접촉x1,1
