panel_id,image,box_index,class_id,class_name,osd_area_ratio,osd_pixels,threshold
P1,A1_B1_P1_2022-05-12_IR1_00033,0,0,core_iron,0.0056,37,0.3
P1,A1_B1_P1_2022-05-12_IR1_00033,1,2,mold_tr_contact,0.0233,22,0.3
P1,A1_B1_P1_2022-05-12_IR1_00033,2,1,epoxy_surface,0.0108,132,0.3
P1,A1_B1_P1_2022-05-12_IR1_00033,3,1,epoxy_surface,0.0054,85,0.3
P1,A1_B1_P1_2022-05-12_IR1_00034,1,2,mold_tr_contact,0.0015,2,0.3
P1,A1_B1_P1_2022-05-12_IR1_00034,2,1,epoxy_surface,0.0186,111,0.3
P1,A1_B1_P1_2022-05-12_IR1_00034,3,1,epoxy_surface,0.0095,60,0.3
P1,A1_B1_P1_2022-05-12_IR1_00034,5,0,core_iron,0.0068,62,0.3
P1,A1_B1_P1_2022-05-12_IR1_00034,6,1,epoxy_surface,0.0102,96,0.3
P1,A1_B1_P1_2022-05-12_IR1_00035,0,2,mold_tr_contact,0.0125,19,0.3
P1,A1_B1_P1_2022-05-12_IR1_00035,2,1,epoxy_surface,0.0111,95,0.3
P1,A1_B1_P1_2022-05-12_IR1_00035,3,1,epoxy_surface,0.0107,83,0.3
P1,A1_B1_P1_2022-05-12_IR1_00035,4,2,mold_tr_contact,0.0183,11,0.3
P1,A1_B1_P1_2022-05-12_IR1_00035,5,0,core_iron,0.0043,31,0.3
P1,A1_B1_P1_2022-05-12_IR1_00035,6,2,mold_tr_contact,0.0237,42,0.3
P1,A1_B1_P1_2022-05-12_IR1_00036,0,2,mold_tr_contact,0.0020,3,0.3
P1,A1_B1_P1_2022-05-12_IR1_00036,1,1,epoxy_surface,0.0084,96,0.3
P1,A1_B1_P1_2022-05-12_IR1_00036,2,1,epoxy_surface,0.0048,54,0.3
P1,A1_B1_P1_2022-05-12_IR1_00036,3,1,epoxy_surface,0.0186,81,0.3
P1,A1_B1_P1_2022-05-12_IR1_00036,4,0,core_iron,0.0038,31,0.3
P1,A1_B1_P1_2022-05-12_IR1_00036,5,2,mold_tr_contact,0.0013,2,0.3
P1,A1_B1_P1_2022-05-12_IR1_00037,0,0,core_iron,0.0039,31,0.3
P1,A1_B1_P1_2022-05-12_IR1_00037,1,2,mold_tr_contact,0.0385,59,0.3
P1,A1_B1_P1_2022-05-12_IR1_00037,3,1,epoxy_surface,0.0017,2,0.3
P1,A1_B1_P1_2022-05-12_IR1_00037,4,1,epoxy_surface,0.0172,102,0.3
P1,A1_B1_P1_2022-05-12_IR1_00037,5,1,epoxy_surface,0.0108,65,0.3
P1,A1_B1_P1_2022-05-12_IR1_00038,0,1,epoxy_surface,0.0192,102,0.3
P1,A1_B1_P1_2022-05-12_IR1_00038,2,1,epoxy_surface,0.0264,70,0.3
P1,A1_B1_P1_2022-05-12_IR1_00038,3,0,core_iron,0.0068,61,0.3
P1,A1_B1_P1_2022-05-12_IR1_00038,5,1,epoxy_surface,0.0096,35,0.3
P1,A1_B1_P1_2022-05-12_IR1_00039,0,1,epoxy_surface,0.0134,123,0.3
P1,A1_B1_P1_2022-05-12_IR1_00039,1,0,core_iron,0.0044,31,0.3
P1,A1_B1_P1_2022-05-12_IR1_00039,5,1,epoxy_surface,0.0278,54,0.3
P1,A1_B1_P1_2022-05-12_IR1_00039,6,1,epoxy_surface,0.0075,65,0.3
P1,A1_B1_P1_2022-05-12_IR1_00040,0,2,mold_tr_contact,0.0045,5,0.3
P1,A1_B1_P1_2022-05-12_IR1_00040,1,1,epoxy_surface,0.0325,99,0.3
P1,A1_B1_P1_2022-05-12_IR1_00040,2,2,mold_tr_contact,0.0256,11,0.3
P1,A1_B1_P1_2022-05-12_IR1_00040,3,1,epoxy_surface,0.0057,67,0.3
P1,A1_B1_P1_2022-05-12_IR1_00040,4,1,epoxy_surface,0.0086,105,0.3
P1,A1_B1_P1_2022-05-12_IR1_00040,5,2,mold_tr_contact,0.0161,18,0.3
P1,A1_B1_P1_2022-05-12_IR1_00040,6,0,core_iron,0.0050,35,0.3
P1,A1_B1_P1_2022-05-12_IR1_00041,0,2,mold_tr_contact,0.0152,22,0.3
P1,A1_B1_P1_2022-05-12_IR1_00041,1,0,core_iron,0.0044,32,0.3
P1,A1_B1_P1_2022-05-12_IR1_00041,2,2,mold_tr_contact,0.0042,5,0.3
P1,A1_B1_P1_2022-05-12_IR1_00041,3,1,epoxy_surface,0.0048,55,0.3
P1,A1_B1_P1_2022-05-12_IR1_00041,4,1,epoxy_surface,0.0212,84,0.3
P1,A1_B1_P1_2022-05-12_IR1_00041,5,1,epoxy_surface,0.0081,93,0.3
P1,A1_B1_P1_2022-05-12_IR1_00041,6,2,mold_tr_contact,0.0200,22,0.3
P1,A1_B1_P1_2022-05-12_IR1_00042,0,2,mold_tr_contact,0.0111,10,0.3
P1,A1_B1_P1_2022-05-12_IR1_00042,1,1,epoxy_surface,0.0079,97,0.3
P1,A1_B1_P1_2022-05-12_IR1_00042,2,2,mold_tr_contact,0.0583,67,0.3
P1,A1_B1_P1_2022-05-12_IR1_00042,3,2,mold_tr_contact,0.0021,2,0.3
P1,A1_B1_P1_2022-05-12_IR1_00042,4,1,epoxy_surface,0.0097,113,0.3
P1,A1_B1_P1_2022-05-12_IR1_00042,5,0,core_iron,0.0065,62,0.3
P1,A1_B1_P1_2022-05-12_IR1_00042,6,1,epoxy_surface,0.0165,156,0.3
P1,A1_B1_P1_2022-05-12_IR1_00043,0,1,epoxy_surface,0.0118,99,0.3
P1,A1_B1_P1_2022-05-12_IR1_00043,1,1,epoxy_surface,0.0235,74,0.3
P1,A1_B1_P1_2022-05-12_IR1_00043,2,0,core_iron,0.0056,32,0.3
P1,A1_B1_P1_2022-05-12_IR1_00043,4,2,mold_tr_contact,0.0192,23,0.3
P1,A1_B1_P1_2022-05-12_IR1_00043,5,2,mold_tr_contact,0.0269,39,0.3
P1,A1_B1_P1_2022-05-12_IR1_00044,0,0,core_iron,0.0081,31,0.3
P1,A1_B1_P1_2022-05-12_IR1_00044,1,2,mold_tr_contact,0.0158,19,0.3
P1,A1_B1_P1_2022-05-12_IR1_00044,2,1,epoxy_surface,0.0133,115,0.3
P1,A1_B1_P1_2022-05-12_IR1_00044,3,2,mold_tr_contact,0.0155,23,0.3
P1,A1_B1_P1_2022-05-12_IR1_00045,0,2,mold_tr_contact,0.0493,84,0.3
P1,A1_B1_P1_2022-05-12_IR1_00045,1,0,core_iron,0.0088,31,0.3
P1,A1_B1_P1_2022-05-12_IR1_00045,2,1,epoxy_surface,0.0161,164,0.3
P1,A1_B1_P1_2022-05-12_IR1_00046,0,2,mold_tr_contact,0.0104,12,0.3
P1,A1_B1_P1_2022-05-12_IR1_00046,1,2,mold_tr_contact,0.0047,7,0.3
P1,A1_B1_P1_2022-05-12_IR1_00046,2,0,core_iron,0.0065,31,0.3
P1,A1_B1_P1_2022-05-12_IR1_00046,3,1,epoxy_surface,0.0083,98,0.3
P1,A1_B1_P1_2022-05-12_IR1_00046,4,1,epoxy_surface,0.0186,131,0.3
P1,A1_B1_P1_2022-05-12_IR1_00046,5,2,mold_tr_contact,0.0184,22,0.3
P1,A1_B1_P1_2022-05-12_IR1_00047,0,0,core_iron,0.0087,31,0.3
P1,A1_B1_P1_2022-05-12_IR1_00047,1,2,mold_tr_contact,0.0035,3,0.3
P1,A1_B1_P1_2022-05-12_IR1_00047,3,1,epoxy_surface,0.0151,114,0.3
P1,A1_B1_P1_2022-05-12_IR1_00048,2,2,mold_tr_contact,0.0476,45,0.3
P1,A1_B1_P1_2022-05-12_IR1_00048,3,0,core_iron,0.0065,27,0.3
P1,A1_B1_P1_2022-05-12_IR1_00048,4,1,epoxy_surface,0.0175,96,0.3
P1,A1_B1_P1_2022-05-12_IR1_00048,5,1,epoxy_surface,0.0352,56,0.3
P1,A1_B1_P1_2022-05-12_IR1_00049,3,1,epoxy_surface,0.0049,7,0.3
P1,A1_B1_P1_2022-05-12_IR1_00049,5,0,core_iron,0.0236,174,0.3
P1,A1_B1_P1_2022-05-12_IR1_00050,4,0,core_iron,0.0196,174,0.3
P1,A1_B1_P1_2022-05-12_IR1_00051,4,0,core_iron,0.0195,159,0.3
P1,A1_B1_P1_2022-05-12_IR1_00052,0,1,epoxy_surface,0.0070,142,0.3
P1,A1_B1_P1_2022-05-12_IR1_00052,1,1,epoxy_surface,0.0146,271,0.3
P1,A1_B1_P1_2022-05-12_IR1_00052,2,0,core_iron,0.0186,59,0.3
P1,A1_B1_P1_2022-05-12_IR1_00053,0,1,epoxy_surface,0.0163,262,0.3
P1,A1_B1_P1_2022-05-12_IR1_00053,1,1,epoxy_surface,0.0078,142,0.3
P1,A1_B1_P1_2022-05-12_IR1_00053,2,0,core_iron,0.0223,89,0.3
P1,A1_B1_P1_2022-05-12_IR1_00054,0,1,epoxy_surface,0.0080,139,0.3
P1,A1_B1_P1_2022-05-12_IR1_00054,1,0,core_iron,0.0212,81,0.3
P1,A1_B1_P1_2022-05-12_IR1_00054,2,1,epoxy_surface,0.0159,263,0.3
P1,A1_B1_P1_2022-05-12_IR1_00055,0,1,epoxy_surface,0.0154,280,0.3
P1,A1_B1_P1_2022-05-12_IR1_00055,1,1,epoxy_surface,0.0114,207,0.3
P1,A1_B1_P1_2022-05-12_IR1_00055,2,1,epoxy_surface,0.0078,141,0.3
P1,A1_B1_P1_2022-05-12_IR1_00056,0,1,epoxy_surface,0.0080,146,0.3
P1,A1_B1_P1_2022-05-12_IR1_00056,1,1,epoxy_surface,0.0096,153,0.3
P1,A1_B1_P1_2022-05-12_IR1_00056,3,1,epoxy_surface,0.0151,274,0.3
P1,A1_B1_P1_2022-05-12_IR1_00057,0,1,epoxy_surface,0.0110,196,0.3
P1,A1_B1_P1_2022-05-12_IR1_00057,1,1,epoxy_surface,0.0079,140,0.3
P1,A1_B1_P1_2022-05-12_IR1_00057,2,0,core_iron,0.0104,22,0.3
P1,A1_B1_P1_2022-05-12_IR1_00057,3,1,epoxy_surface,0.0160,265,0.3
P1,A1_B1_P1_2022-05-12_IR1_00057,4,0,core_iron,0.0003,1,0.3
P1,A1_B1_P1_2022-05-12_IR1_00058,0,0,core_iron,0.0054,42,0.3
P1,A1_B1_P1_2022-05-12_IR1_00058,1,1,epoxy_surface,0.0105,130,0.3
P1,A1_B1_P1_2022-05-12_IR1_00058,2,1,epoxy_surface,0.0163,235,0.3
P1,A1_B1_P1_2022-05-12_IR1_00058,3,1,epoxy_surface,0.0062,91,0.3
P1,A1_B1_P1_2022-05-12_IR1_00059,0,1,epoxy_surface,0.0118,168,0.3
P1,A1_B1_P1_2022-05-12_IR1_00059,1,1,epoxy_surface,0.0048,77,0.3
P1,A1_B1_P1_2022-05-12_IR1_00059,2,1,epoxy_surface,0.0137,230,0.3
P1,A1_B1_P1_2022-05-12_IR1_00059,3,0,core_iron,0.0200,89,0.3
P1,A1_B1_P1_2022-05-12_IR1_00060,0,1,epoxy_surface,0.0114,206,0.3
P1,A1_B1_P1_2022-05-12_IR1_00060,1,0,core_iron,0.0047,13,0.3
P1,A1_B1_P1_2022-05-12_IR1_00060,3,1,epoxy_surface,0.0080,140,0.3
P1,A1_B1_P1_2022-05-12_IR1_00060,4,1,epoxy_surface,0.0003,1,0.3
P1,A1_B1_P1_2022-05-12_IR1_00061,0,0,core_iron,0.0053,13,0.3
P1,A1_B1_P1_2022-05-12_IR1_00061,2,1,epoxy_surface,0.0078,42,0.3
P1,A1_B1_P1_2022-05-12_IR1_00061,3,1,epoxy_surface,0.0098,165,0.3
P1,A1_B1_P1_2022-05-12_IR1_00061,4,1,epoxy_surface,0.0086,129,0.3
P1,A1_B1_P1_2022-05-12_IR1_00062,0,1,epoxy_surface,0.0091,148,0.3
P1,A1_B1_P1_2022-05-12_IR1_00062,1,1,epoxy_surface,0.0048,85,0.3
P1,A1_B1_P1_2022-05-12_IR1_00062,2,0,core_iron,0.0032,8,0.3
P1,A1_B1_P1_2022-05-12_IR1_00063,1,0,core_iron,0.0055,13,0.3
P1,A1_B1_P1_2022-05-12_IR1_00063,2,1,epoxy_surface,0.0087,153,0.3
P1,A1_B1_P1_2022-05-12_IR1_00063,3,1,epoxy_surface,0.0097,171,0.3
P1,A1_B1_P1_2022-05-12_IR1_00063,4,1,epoxy_surface,0.0095,48,0.3
P1,A1_B1_P1_2022-05-12_IR1_00064,0,0,core_iron,0.0057,10,0.3
P1,A1_B1_P1_2022-05-12_IR1_00064,1,1,epoxy_surface,0.0115,200,0.3
P1,A1_B1_P1_2022-05-12_IR1_00064,2,1,epoxy_surface,0.0081,143,0.3
P1,A1_B1_P1_2022-05-12_IR1_00064,3,1,epoxy_surface,0.0152,268,0.3
P1,A1_B1_P1_2022-05-12_IR1_00064,4,0,core_iron,0.0026,12,0.3
