pair_id,cosine,human_verdict,same_session,panel,cluster_same_at_0.93,cluster_same_at_0.925,cluster_same_at_0.92,cluster_same_at_0.9175,cluster_same_at_0.9155,cluster_same_at_0.9125,cluster_same_at_0.91
pair_0013,0.9177,DIFFERENT_SCENE,0,P1,0,0,0,0,0,0,0
pair_0076,0.9177,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0020,0.9167,DIFFERENT_SCENE,1,P9,0,0,0,0,0,0,0
pair_0082,0.9165,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0038,0.9157,SAME_SCENE,1,P1,0,0,0,0,0,0,0
pair_0081,0.9154,DIFFERENT_SCENE,1,P9,0,0,0,0,0,0,0
pair_0034,0.9153,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0087,0.9149,DIFFERENT_SCENE,1,P9,0,0,0,0,0,0,0
pair_0004,0.9148,DIFFERENT_SCENE,1,P9,0,0,0,0,0,0,0
pair_0084,0.9147,DIFFERENT_SCENE,1,P7,0,0,0,0,0,0,0
pair_0017,0.9146,DIFFERENT_SCENE,0,P1,0,0,0,0,0,0,0
pair_0071,0.9144,DIFFERENT_SCENE,1,P1,0,0,1,1,1,0,0
pair_0053,0.9129,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0052,0.9126,SAME_SCENE,0,P9,0,0,0,0,0,0,0
pair_0079,0.912,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0047,0.9118,DIFFERENT_SCENE,1,P6,0,0,0,1,1,1,1
pair_0091,0.9113,DIFFERENT_SCENE,0,P1,0,0,0,0,0,0,1
pair_0067,0.9112,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0019,0.9111,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0023,0.9104,DIFFERENT_SCENE,1,P9,0,0,0,0,0,0,0
pair_0066,0.9104,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0044,0.9099,DIFFERENT_SCENE,0,P9,0,1,1,1,1,1,1
pair_0035,0.9098,DIFFERENT_SCENE,0,P5,0,0,0,0,0,0,0
pair_0064,0.9096,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0021,0.9093,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0100,0.9088,DIFFERENT_SCENE,0,P1,0,0,0,0,0,0,0
pair_0009,0.9082,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0073,0.9082,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0029,0.9081,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0036,0.9079,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0058,0.9077,DIFFERENT_SCENE,1,P9,0,0,1,1,1,1,1
pair_0039,0.9072,DIFFERENT_SCENE,0,P1,0,0,0,0,0,0,0
pair_0014,0.9067,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0018,0.9066,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0042,0.9062,DIFFERENT_SCENE,0,P1,0,0,0,0,0,0,0
pair_0094,0.9053,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0001,0.9052,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0028,0.9046,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0010,0.9044,DIFFERENT_SCENE,0,P1,0,0,0,0,0,0,0
pair_0026,0.9038,DIFFERENT_SCENE,1,P3,0,0,0,0,0,0,0
pair_0083,0.9038,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0098,0.903,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0063,0.9027,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0003,0.9015,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0033,0.9015,DIFFERENT_SCENE,1,P9,0,0,0,0,0,0,0
pair_0068,0.9014,DIFFERENT_SCENE,1,P6,0,0,0,0,0,0,0
pair_0040,0.9011,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0056,0.9011,DIFFERENT_SCENE,1,P9,0,0,0,0,0,0,0
pair_0060,0.901,DIFFERENT_SCENE,0,P5,0,0,0,0,0,0,0
pair_0015,0.9009,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0025,0.9009,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0096,0.9006,DIFFERENT_SCENE,1,P9,0,0,0,0,0,0,0
pair_0101,0.9004,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0092,0.9003,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
