group,case_id,panel,panel_id,camera,session,image_id,rel_path,source,has_rgb_pair,target_class,difficulty_flags,existing_label,reason
A_본대상,A13,P6-VCB반,P6,IR1,P6|A1_B2_2022-05-12_IR1_,P6/A1_B2_P6_2022-05-12_IR1_00001,P6-VCB반/A1_B2_P6_2022-05-12_IR1_00001.jpg,3-가공,1,케이블헤드,,없음,케이블헤드 단위 검증 · 시드 후보
A_본대상,A14,P6-VCB반,P6,IR1,P6|A1_B3_2022-05-24_IR1_,P6/A1_B3_P6_2022-05-24_IR1_00001,P6-VCB반/A1_B3_P6_2022-05-24_IR1_00001.jpg,3-가공,1,케이블헤드,,없음,케이블헤드 단위 검증 · 시드 후보
A_본대상,A15,P9-MCCB반,P9,IR2,P9|A1_B1_2022-07-19_IR2_,P9/A1_B1_P9_2022-07-19_IR2_00000,P9-MCCB반/A1_B1_P9_2022-07-19_IR2_00000.jpg,3-가공,0,MCCB 접촉부,,없음,MCCB 접촉부 단위 검증 · 시드 후보
A_본대상,A16,P9-MCCB반,P9,IR2,P9|A1_B2_2022-07-19_IR2_,P9/A1_B2_P9_2022-07-19_IR2_00001,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_00001.jpg,3-가공,0,MCCB 접촉부,,없음,MCCB 접촉부 단위 검증 · 시드 후보
A_본대상,A17,P9-MCCB반,P9,IR3,P9|A1_B2_2022-07-19_IR3_,P9/A1_B2_P9_2022-07-19_IR3_00001,P9-MCCB반/A1_B2_P9_2022-07-19_IR3_00001.jpg,3-가공,0,MCCB 접촉부,,없음,MCCB 접촉부 단위 검증 · 시드 후보
A_본대상,A18,P9-MCCB반,P9,IR2,P9|A1_B3_2022-07-19_IR2_,P9/A1_B3_P9_2022-07-19_IR2_00001,P9-MCCB반/A1_B3_P9_2022-07-19_IR2_00001.jpg,3-가공,0,MCCB 접촉부,,없음,MCCB 접촉부 단위 검증 · 시드 후보
B_난이도,B01_잘림-2변이상,P4-MOF&PT반,P4,IR1,,A1_B1_P4_2022-05-12_IR1_00001,,3-가공(정본),,변압기 / 변압기 접촉부 / 비한류형 전력퓨즈,잘림-2변이상 다른클래스겹침,canonical 7박스 (라벨러에게 비공개),실패 유형 잘림-2변이상 이 측정으로 확인된 이미지
B_난이도,B02_잘림-2변이상,P4-MOF&PT반,P4,IR1,,A1_B1_P4_2022-05-12_IR1_00015,,3-가공(정본),,변류기,잘림-2변이상,canonical 1박스 (라벨러에게 비공개),실패 유형 잘림-2변이상 이 측정으로 확인된 이미지
B_난이도,B03_잘림-2변이상,P4-MOF&PT반,P4,IR1,,A1_B1_P4_2022-05-12_IR1_00021,,3-가공(정본),,변류기,잘림-2변이상 같은클래스겹침,canonical 2박스 (라벨러에게 비공개),실패 유형 잘림-2변이상 이 측정으로 확인된 이미지
B_난이도,B01_작은객체,P9-MCCB반,P9,IR1,,A1_B1_P9_2022-05-12_IR1_00002,9ban_existing_labels\obj_train_data\A1_B1_P9_2022-05-12_IR1_00002.jpg,pilot(참고),,MCCB / MCCB 접촉부,잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,reference 10박스 (라벨러에게 비공개),실패 유형 작은객체 이 측정으로 확인된 이미지
B_난이도,B02_작은객체,P9-MCCB반,P9,IR1,,A1_B1_P9_2022-05-12_IR1_00050,9ban_existing_labels\obj_train_data\A1_B1_P9_2022-05-12_IR1_00050.jpg,pilot(참고),,MCCB / MCCB 접촉부,잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,reference 13박스 (라벨러에게 비공개),실패 유형 작은객체 이 측정으로 확인된 이미지
B_난이도,B03_작은객체,P9-MCCB반,P9,IR1,,A1_B2_P9_2022-05-12_IR1_00003,9ban_existing_labels\obj_train_data\A1_B2_P9_2022-05-12_IR1_00003.jpg,pilot(참고),,MCCB / MCCB 접촉부,잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,reference 31박스 (라벨러에게 비공개),실패 유형 작은객체 이 측정으로 확인된 이미지
B_난이도,B01_다른클래스겹침,P4-MOF&PT반,P4,IR1,,A1_B1_P4_2022-05-12_IR1_00080,,3-가공(정본),,변류기 접촉부 / 비한류형 전력퓨즈,다른클래스겹침,canonical 6박스 (라벨러에게 비공개),실패 유형 다른클래스겹침 이 측정으로 확인된 이미지
B_난이도,B02_다른클래스겹침,P4-MOF&PT반,P4,IR1,,A1_B1_P4_2022-05-12_IR1_00088,,3-가공(정본),,변류기 접촉부 / 비한류형 전력퓨즈,다른클래스겹침,canonical 5박스 (라벨러에게 비공개),실패 유형 다른클래스겹침 이 측정으로 확인된 이미지
B_난이도,B03_다른클래스겹침,P6-VCB반,P6,IR1,,A1_B1_P6_2022-05-12_IR1_00012,6ban_existing_labels\obj_train_data\A1_B1_P6_2022-05-12_IR1_00012.jpg,pilot(참고),,VCB 접촉부 / 케이블헤드,다른클래스겹침,reference 3박스 (라벨러에게 비공개),실패 유형 다른클래스겹침 이 측정으로 확인된 이미지
B_난이도,B01_같은클래스겹침,P1-TR반,P1,IR1,,A1_B1_P1_2022-05-12_IR1_00090,,3-가공(정본),,몰드변압기 접촉부 / 철심부,잘림-1변다수 같은클래스겹침,canonical 5박스 (라벨러에게 비공개),실패 유형 같은클래스겹침 이 측정으로 확인된 이미지
B_난이도,B01_같은클래스밀집,P9-MCCB반,P9,IR1,,A1_B1_P9_2022-05-12_IR1_00003,9ban_existing_labels\obj_train_data\A1_B1_P9_2022-05-12_IR1_00003.jpg,pilot(참고),,MCCB / MCCB 접촉부,잘림-1변다수 다른클래스겹침 같은클래스밀집,reference 23박스 (라벨러에게 비공개),실패 유형 같은클래스밀집 이 측정으로 확인된 이미지
B_난이도,B02_같은클래스밀집,P9-MCCB반,P9,IR1,,A1_B1_P9_2022-05-12_IR1_00030,9ban_existing_labels\obj_train_data\A1_B1_P9_2022-05-12_IR1_00030.jpg,pilot(참고),,MCCB / MCCB 접촉부,잘림-1변다수 다른클래스겹침 같은클래스밀집,reference 8박스 (라벨러에게 비공개),실패 유형 같은클래스밀집 이 측정으로 확인된 이미지
