image,kind,auto_cause,a_box,e_box,iou,a_area,e_area,a_edges,e_edges,note_auto,verdict,note_human
B01_작은객체,MATCHED_LOW,경계 규칙,1,0,0.585,0.02183,0.01302,0,0,,,
B01_작은객체,MATCHED_LOW,경계 규칙,3,3,0.518,0.01127,0.02177,0,0,,,
B01_작은객체,MATCHED_LOW,경계 규칙,2,4,0.518,0.01127,0.02177,0,0,,,
B01_작은객체,MATCHED_LOW,경계 규칙,5,1,0.512,0.00814,0.01344,1,1,,,
B01_작은객체,A_MISSING,,,5,0.0,,0.00106,,1,프레임 접촉,기존이_이상함,기존 박스가 너무 크게 그려짐
B02_같은클래스밀집,MATCHED,,3,2,0.807,0.01707,0.01602,1,1,,,
B02_같은클래스밀집,MATCHED_LOW,경계 규칙,2,4,0.701,0.01797,0.0241,1,1,,,
B02_같은클래스밀집,MATCHED_LOW,경계 규칙,1,5,0.578,0.02031,0.0351,0,0,,,
B02_같은클래스밀집,MATCHED_LOW,경계 규칙,0,0,0.578,0.02029,0.0351,0,0,,,
B02_같은클래스밀집,A_MISSING,,,1,0.0,,0.02685,,0,,그려야_함,
B02_같은클래스밀집,A_MISSING,,,3,0.0,,0.02587,,0,,그려야_함,
B02_작은객체,MATCHED_LOW,경계 규칙,3,0,0.75,0.00307,0.00321,0,0,,,
B02_작은객체,MATCHED_LOW,경계 규칙,1,8,0.698,0.00257,0.00359,1,1,,,
B02_작은객체,MATCHED_LOW,경계 규칙,4,1,0.686,0.00307,0.00337,0,0,,,
B02_작은객체,MATCHED_LOW,경계 규칙,7,4,0.637,0.00306,0.0027,1,1,,,
B02_작은객체,MATCHED_LOW,경계 규칙,2,7,0.505,0.00267,0.00279,1,1,,,
B02_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),,2,0.272,,0.00272,,1,프레임 접촉,,
B02_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),,3,0.021,,0.00087,,1,프레임 접촉,,
B02_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),,5,0.314,,0.00428,,0,,,
B02_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),,6,0.251,,0.00449,,0,,,
B02_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),0,,0.251,0.00306,,0,,,,
B02_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),5,,0.314,0.00306,,0,,,,
B02_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),6,,0.272,0.00306,,1,,프레임 접촉,,
B03_작은객체,MATCHED,,16,18,0.824,0.00323,0.00312,0,0,,,
B03_작은객체,MATCHED,,14,15,0.824,0.00323,0.00312,0,0,,,
B03_작은객체,MATCHED,,9,14,0.824,0.00323,0.00312,0,0,,,
B03_작은객체,MATCHED,,3,8,0.789,0.00419,0.0053,0,0,,,
B03_작은객체,MATCHED,,0,4,0.771,0.00419,0.00543,0,0,,,
B03_작은객체,MATCHED,,6,10,0.768,0.00419,0.00432,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,15,17,0.734,0.00305,0.00312,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,13,16,0.668,0.00323,0.00312,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,8,13,0.564,0.00323,0.00312,0,0,,,
B03_작은객체,MATCHED_LOW,경계 규칙,4,12,0.559,0.00419,0.0049,0,0,,,
B03_작은객체,A_MISSING,,,0,0.0,,0.00152,,1,프레임 접촉,빼는게_맞음,
B03_작은객체,A_MISSING,,,1,0.0,,0.00125,,1,프레임 접촉,빼는게_맞음,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),,2,0.14,,0.00826,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),7,3,0.477,,0.00377,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),11,5,0.46,,0.00553,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),2,6,0.452,,0.00615,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),1,7,0.465,,0.00481,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),5,9,0.277,,0.00747,,0,,,
B03_작은객체,A_MISSING,,,11,0.0,,0.002,,1,프레임 접촉,기존이_이상함,기존 박스를 너무 크게 그림.
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),12,19,0.384,,0.00538,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),17,20,0.493,,0.00538,,0,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),1,,0.465,0.00419,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),2,,0.452,0.00419,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),5,,0.277,0.00419,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),7,3,0.477,0.00419,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),10,,0.14,0.00368,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),11,,0.46,0.00374,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),12,,0.384,0.00346,,0,,,,
B03_작은객체,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),17,,0.493,0.004,,0,,,,
