case_id,group,delivered_as,original_image_id,panel,camera,source,target_class_for_review,difficulty_flags,existing_label,reference_rgb,selection_reason,provenance
B01_잘림-2변이상,B_난이도,B01_잘림-2변이상.jpg,A1_B1_P4_2022-05-12_IR1_00001,P4-MOF&PT반,IR1,3-가공(정본),변압기 / 변압기 접촉부 / 비한류형 전력퓨즈,잘림-2변이상 다른클래스겹침,canonical 7박스 (라벨러에게 비공개),B01_잘림-2변이상_rgb.jpg,실패 유형 잘림-2변이상 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
B02_잘림-2변이상,B_난이도,B02_잘림-2변이상.jpg,A1_B1_P4_2022-05-12_IR1_00015,P4-MOF&PT반,IR1,3-가공(정본),변류기,잘림-2변이상,canonical 1박스 (라벨러에게 비공개),B02_잘림-2변이상_rgb.jpg,실패 유형 잘림-2변이상 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
B03_잘림-2변이상,B_난이도,B03_잘림-2변이상.jpg,A1_B1_P4_2022-05-12_IR1_00021,P4-MOF&PT반,IR1,3-가공(정본),변류기,잘림-2변이상 같은클래스겹침,canonical 2박스 (라벨러에게 비공개),B03_잘림-2변이상_rgb.jpg,실패 유형 잘림-2변이상 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
B01_작은객체,B_난이도,B01_작은객체.jpg,A1_B1_P9_2022-05-12_IR1_00002,P9-MCCB반,IR1,pilot(참고),MCCB / MCCB 접촉부,잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,reference 10박스 (라벨러에게 비공개),B01_작은객체_rgb.jpg,실패 유형 작은객체 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
B02_작은객체,B_난이도,B02_작은객체.jpg,A1_B1_P9_2022-05-12_IR1_00050,P9-MCCB반,IR1,pilot(참고),MCCB / MCCB 접촉부,잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,reference 13박스 (라벨러에게 비공개),B02_작은객체_rgb.jpg,실패 유형 작은객체 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
B03_작은객체,B_난이도,B03_작은객체.jpg,A1_B2_P9_2022-05-12_IR1_00003,P9-MCCB반,IR1,pilot(참고),MCCB / MCCB 접촉부,잘림-1변다수 작은객체 다른클래스겹침 같은클래스밀집,reference 31박스 (라벨러에게 비공개),B03_작은객체_rgb.jpg,실패 유형 작은객체 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
B01_다른클래스겹침,B_난이도,B01_다른클래스겹침.jpg,A1_B1_P4_2022-05-12_IR1_00080,P4-MOF&PT반,IR1,3-가공(정본),변류기 접촉부 / 비한류형 전력퓨즈,다른클래스겹침,canonical 6박스 (라벨러에게 비공개),B01_다른클래스겹침_rgb.jpg,실패 유형 다른클래스겹침 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
B02_다른클래스겹침,B_난이도,B02_다른클래스겹침.jpg,A1_B1_P4_2022-05-12_IR1_00088,P4-MOF&PT반,IR1,3-가공(정본),변류기 접촉부 / 비한류형 전력퓨즈,다른클래스겹침,canonical 5박스 (라벨러에게 비공개),B02_다른클래스겹침_rgb.jpg,실패 유형 다른클래스겹침 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
B03_다른클래스겹침,B_난이도,B03_다른클래스겹침.jpg,A1_B1_P6_2022-05-12_IR1_00012,P6-VCB반,IR1,pilot(참고),VCB 접촉부 / 케이블헤드,다른클래스겹침,reference 3박스 (라벨러에게 비공개),B03_다른클래스겹침_rgb.jpg,실패 유형 다른클래스겹침 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
B01_같은클래스겹침,B_난이도,B01_같은클래스겹침.jpg,A1_B1_P1_2022-05-12_IR1_00090,P1-TR반,IR1,3-가공(정본),몰드변압기 접촉부 / 철심부,잘림-1변다수 같은클래스겹침,canonical 5박스 (라벨러에게 비공개),B01_같은클래스겹침_rgb.jpg,실패 유형 같은클래스겹침 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
B01_같은클래스밀집,B_난이도,B01_같은클래스밀집.jpg,A1_B1_P9_2022-05-12_IR1_00003,P9-MCCB반,IR1,pilot(참고),MCCB / MCCB 접촉부,잘림-1변다수 다른클래스겹침 같은클래스밀집,reference 23박스 (라벨러에게 비공개),B01_같은클래스밀집_rgb.jpg,실패 유형 같은클래스밀집 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
B02_같은클래스밀집,B_난이도,B02_같은클래스밀집.jpg,A1_B1_P9_2022-05-12_IR1_00030,P9-MCCB반,IR1,pilot(참고),MCCB / MCCB 접촉부,잘림-1변다수 다른클래스겹침 같은클래스밀집,reference 8박스 (라벨러에게 비공개),B02_같은클래스밀집_rgb.jpg,실패 유형 같은클래스밀집 이 측정으로 확인된 이미지,reports/data_audit/trial_provenance.csv 의 같은 case_id 행
