image,box_index,panel_id,class_id,class_name,quarantine_reason,detail,pair_with,status,resolved_by,resolution,source_audit
A3_B3_P1_2022-06-17_IR1_00083,1,P1,0,철심부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.522),1+2,제외확정,김주형,큰쪽_유지 (REV-003 · Q15),DEC-016
A3_B3_P1_2022-06-17_IR1_00083,2,P1,0,철심부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.522),1+2,해제,김주형,큰쪽_유지 (REV-003 · Q15),DEC-016
A3_B4_P1_2022-06-17_IR1_00020,0,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.196),0+4,제외확정,김주형,큰쪽_유지 (REV-003 · Q16),DEC-016
A3_B4_P1_2022-06-17_IR1_00020,4,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.196),0+4,해제,김주형,큰쪽_유지 (REV-003 · Q16),DEC-016
A3_B4_P1_2022-06-17_IR1_00020,6,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.158),6+7,해제,김주형,큰쪽_유지 (REV-003 · Q17),DEC-016
A3_B4_P1_2022-06-17_IR1_00020,7,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.158),6+7,제외확정,김주형,큰쪽_유지 (REV-003 · Q17),DEC-016
A3_B4_P1_2022-06-17_IR1_00020,6,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.251),6+8,해제,김주형,큰쪽_유지 (REV-003 · Q18),DEC-016
A3_B4_P1_2022-06-17_IR1_00020,8,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.251),6+8,제외확정,김주형,큰쪽_유지 (REV-003 · Q18),DEC-016
A3_B4_P1_2022-06-17_IR1_00020,7,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.630),7+8,제외확정,김주형,둘다_제외 (REV-003 · Q19),DEC-016
A3_B4_P1_2022-06-17_IR1_00020,8,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.630),7+8,제외확정,김주형,둘다_제외 (REV-003 · Q19),DEC-016
A3_B4_P1_2022-06-17_IR1_00082,1,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.527),1+2,해제,김주형,큰쪽_유지 (REV-003 · Q20),DEC-016
A3_B4_P1_2022-06-17_IR1_00082,2,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.527),1+2,제외확정,김주형,큰쪽_유지 (REV-003 · Q20),DEC-016
