pair_id,rel_a,rel_b,image_id_a,image_id_b,panel,camera_a,camera_b,session_a,session_b,same_session,cluster_a,cluster_b,same_cluster,split_a,split_b,hamming,cosine,cos_bin,cell
pair_0011,P1-TR반/A3_B4_P1_2022-07-15_IR2_08749.jpg,P1-TR반/A3_B4_P1_2022-07-15_IR2_09491.jpg,P1/A3_B4_P1_2022-07-15_IR2_08749,P1/A3_B4_P1_2022-07-15_IR2_09491,P1,IR2,IR2,,,1,P1-C103,P1-C170,0,val,train,14,0.9267,0.9228~0.9300,P1|IR2|same|0.9228~0.9300
pair_0012,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_01942.jpg,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_03153.jpg,P9/A3_B4_P9_2022-07-15_IR2_01942,P9/A3_B4_P9_2022-07-15_IR2_03153,P9,IR2,IR2,,,1,P9-C96281,P9-C96718,0,train,val,12,0.9285,0.9228~0.9300,P9|IR2|same|0.9228~0.9300
pair_0013,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_01526.jpg,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_3_01097.jpg,P1/A2_B1_P1_2022-07-11_IR2_1_01526,P1/A2_B1_P1_2022-07-11_IR2_3_01097,P1,IR2,IR2,1,3,0,P1-C19404,P1-C21558,0,val,train,12,0.9177,0.9155~0.9228,P1|IR2|diff|0.9155~0.9228
pair_0014,P1-TR반/A3_B4_P1_2022-07-15_IR3_02828.jpg,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-19_IR3_01109.jpg,P1/A3_B4_P1_2022-07-15_IR3_02828,P1/A1_B1_P1_2022-07-19_IR3_01109,P1,IR3,IR3,,,1,P1-C2234,P1-C6679,0,train,val,10,0.9067,0.9000~0.9079,P1|IR3|same|0.9000~0.9079
pair_0015,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR2_01569.jpg,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_05488.jpg,P1/A3_B2_P1_2022-07-15_IR2_01569,P1/A3_B3_P1_2022-07-15_IR2_05488,P1,IR2,IR2,,,1,P1-C35007,P1-C35890,0,train,test,14,0.9009,0.9000~0.9079,P1|IR2|same|0.9000~0.9079
pair_0016,P8-ACB반/A2_B1_P8_2022-07-11_IR3_03222.jpg,P8-ACB반/A2_B1_P8_2022-07-11_IR3_03356.jpg,P8/A2_B1_P8_2022-07-11_IR3_03222,P8/A2_B1_P8_2022-07-11_IR3_03356,P8,IR3,IR3,,,1,P8-C73619,P8-C73654,0,train,test,10,0.9185,0.9155~0.9228,P8|IR3|same|0.9155~0.9228
pair_0017,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_7_02112.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_06989.jpg,P1/A2_B1_P1_2022-07-11_IR2_7_02112,P1/A3_B4_P1_2022-07-15_IR2_06989,P1,IR2,IR2,7,,0,P1-C26033,P1-C45449,0,val,train,16,0.9146,0.9079~0.9155,P1|IR2|diff|0.9079~0.9155
pair_0018,P1-TR반/A3_B4_P1_2022-07-15_IR2_08997.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03946.jpg,P1/A3_B4_P1_2022-07-15_IR2_08997,P1/A3_B4_P1_2022-07-15_IR2_03946,P1,IR2,IR2,,,1,P1-C176,P1-C44469,0,train,test,6,0.9066,0.9000~0.9079,P1|IR2|same|0.9000~0.9079
pair_0019,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_07237.jpg,P1-TR반/New Folder With Items/A3_B1_P1_2022-07-01_IR3_01287.jpg,P1/A2_B1_P1_2022-07-11_IR3_07237,P1/A3_B1_P1_2022-07-01_IR3_01287,P1,IR3,IR3,,,1,P1-C30627,P1-C33794,0,train,val,10,0.9111,0.9079~0.9155,P1|IR3|same|0.9079~0.9155
pair_0020,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_01852.jpg,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_01357.jpg,P9/A3_B2_P9_2022-07-15_IR2_01852,P9/A3_B4_P9_2022-07-15_IR2_01357,P9,IR2,IR2,,,1,P9-C90809,P9-C96175,0,test,train,16,0.9167,0.9155~0.9228,P9|IR2|same|0.9155~0.9228
pair_0021,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_01380.jpg,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_01406.jpg,P1/A2_B1_P1_2022-07-11_IR2_1_01380,P1/A2_B1_P1_2022-07-11_IR2_1_01406,P1,IR2,IR2,1,1,1,P1-C18832,P1-C19311,0,train,val,10,0.9093,0.9079~0.9155,P1|IR2|same|0.9079~0.9155
pair_0022,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03970.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_04234.jpg,P1/A3_B4_P1_2022-07-15_IR2_03970,P1/A3_B4_P1_2022-07-15_IR2_04234,P1,IR2,IR2,,,1,P1-C44469,P1-C38736,0,test,train,10,0.9228,0.9228~0.9300,P1|IR2|same|0.9228~0.9300
pair_0023,P9-MCCB반/A1_B1_P9_2022-07-19_IR2_00744.jpg,P9-MCCB반/A1_B1_P9_2022-07-19_IR2_01282.jpg,P9/A1_B1_P9_2022-07-19_IR2_00744,P9/A1_B1_P9_2022-07-19_IR2_01282,P9,IR2,IR2,,,1,P9-C75575,P9-C75775,0,test,train,12,0.9104,0.9079~0.9155,P9|IR2|same|0.9079~0.9155
pair_0024,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_01088.jpg,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_03068.jpg,P9/A2_B1_P9_2022-07-11_IR2_4_01088,P9/A3_B4_P9_2022-07-15_IR2_03068,P9,IR2,IR2,4,,0,P9-C83748,P9-C96627,0,val,train,10,0.9206,0.9155~0.9228,P9|IR2|diff|0.9155~0.9228
pair_0025,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_04161.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_08276.jpg,P1/A3_B4_P1_2022-07-15_IR2_04161,P1/A3_B4_P1_2022-07-15_IR2_08276,P1,IR2,IR2,,,1,P1-C44330,P1-C45707,0,test,train,10,0.9009,0.9000~0.9079,P1|IR2|same|0.9000~0.9079
pair_0026,P3-MOF반/A3_B1_P3_2022-07-01_IR3_00146.jpg,P3-MOF반/A3_B1_P3_2022-07-01_IR3_01026.jpg,P3/A3_B1_P3_2022-07-01_IR3_00146,P3/A3_B1_P3_2022-07-01_IR3_01026,P3,IR3,IR3,,,1,P3-C50941,P3-C51356,0,train,test,14,0.9038,0.9000~0.9079,P3|IR3|same|0.9000~0.9079
pair_0027,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_00971.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_6_02090.jpg,P9/A2_B1_P9_2022-07-11_IR2_4_00971,P9/A2_B1_P9_2022-07-11_IR2_6_02090,P9,IR2,IR2,4,6,0,P9-C83748,P9-C84343,0,val,train,14,0.9236,0.9228~0.9300,P9|IR2|diff|0.9228~0.9300
pair_0028,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-19_IR3_01371.jpg,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR3_00864.jpg,P1/A1_B1_P1_2022-07-19_IR3_01371,P1/A3_B3_P1_2022-07-15_IR3_00864,P1,IR3,IR3,,,1,P1-C6845,P1-C40896,0,val,train,14,0.9046,0.9000~0.9079,P1|IR3|same|0.9000~0.9079
pair_0029,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_01268.jpg,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_05286.jpg,P1/A3_B3_P1_2022-07-15_IR2_01268,P1/A3_B3_P1_2022-07-15_IR2_05286,P1,IR2,IR2,,,1,P1-C38432,P1-C39912,0,train,test,14,0.9081,0.9079~0.9155,P1|IR2|same|0.9079~0.9155
pair_0030,P9-MCCB반/A1_B1_P9_2022-07-19_IR2_00102.jpg,P9-MCCB반/A1_B1_P9_2022-07-19_IR2_00304.jpg,P9/A1_B1_P9_2022-07-19_IR2_00102,P9/A1_B1_P9_2022-07-19_IR2_00304,P9,IR2,IR2,,,1,P9-C75385,P9-C75457,0,train,val,16,0.9265,0.9228~0.9300,P9|IR2|same|0.9228~0.9300
pair_0031,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR2_00701.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_01360.jpg,P1/A1_B2_P1_2022-07-19_IR2_00701,P1/A3_B4_P1_2022-07-15_IR2_01360,P1,IR2,IR2,,,1,P1-C9588,P1-C43421,0,val,train,16,0.9188,0.9155~0.9228,P1|IR2|same|0.9155~0.9228
pair_0032,P8-ACB반/A2_B1_P8_2022-07-11_IR2_2_00635.jpg,P8-ACB반/A3_B3_P8_2022-07-15_IR2_00914.jpg,P8/A2_B1_P8_2022-07-11_IR2_2_00635,P8/A3_B3_P8_2022-07-15_IR2_00914,P8,IR2,IR2,2,,0,P8-C71148,P8-C74545,0,test,train,16,0.9265,0.9228~0.9300,P8|IR2|diff|0.9228~0.9300
pair_0033,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_05602.jpg,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_06097.jpg,P9/A1_B2_P9_2022-07-19_IR2_05602,P9/A1_B2_P9_2022-07-19_IR2_06097,P9,IR2,IR2,,,1,P9-C79605,P9-C79796,0,val,train,14,0.9015,0.9000~0.9079,P9|IR2|same|0.9000~0.9079
pair_0034,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR2_00799.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_04215.jpg,P1/A3_B2_P1_2022-07-15_IR2_00799,P1/A3_B4_P1_2022-07-15_IR2_04215,P1,IR2,IR2,,,1,P1-C34642,P1-C44555,0,test,train,14,0.9153,0.9079~0.9155,P1|IR2|same|0.9079~0.9155
pair_0035,P5-PF&PT반/A1_B2_P5_2022-07-19_IR2_04464.jpg,P5-PF&PT반/A2_B1_P5_2022-07-11_IR2_1_00663.jpg,P5/A1_B2_P5_2022-07-19_IR2_04464,P5/A2_B1_P5_2022-07-11_IR2_1_00663,P5,IR2,IR2,,1,0,P5-C54828,P5-C57472,0,test,train,12,0.9098,0.9079~0.9155,P5|IR2|diff|0.9079~0.9155
pair_0036,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_3_00309.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_00767.jpg,P9/A2_B1_P9_2022-07-11_IR2_3_00309,P9/A2_B1_P9_2022-07-11_IR2_4_00767,P9,IR2,IR2,3,4,0,P9-C83151,P9-C83662,0,train,val,16,0.9079,0.9079~0.9155,P9|IR2|diff|0.9079~0.9155
pair_0037,P9-MCCB반/A3_B4_P9_2022-07-15_IR3_00346.jpg,P9-MCCB반/A3_B4_P9_2022-07-15_IR3_00366.jpg,P9/A3_B4_P9_2022-07-15_IR3_00346,P9/A3_B4_P9_2022-07-15_IR3_00366,P9,IR3,IR3,,,1,P9-C97402,P9-C97417,0,train,val,16,0.9298,0.9228~0.9300,P9|IR3|same|0.9228~0.9300
pair_0038,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-19_IR3_00621.jpg,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-19_IR3_00719.jpg,P1/A1_B1_P1_2022-07-19_IR3_00621,P1/A1_B1_P1_2022-07-19_IR3_00719,P1,IR3,IR3,,,1,P1-C6423,P1-C6429,0,train,val,10,0.9157,0.9155~0.9228,P1|IR3|same|0.9155~0.9228
pair_0039,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_7_00301.jpg,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_03084.jpg,P1/A2_B1_P1_2022-07-11_IR2_7_00301,P1/A3_B3_P1_2022-07-15_IR2_03084,P1,IR2,IR2,7,,0,P1-C23341,P1-C39127,0,val,train,16,0.9072,0.9000~0.9079,P1|IR2|diff|0.9000~0.9079
pair_0040,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_10_01596.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_01055.jpg,P9/A2_B1_P9_2022-07-11_IR2_10_01596,P9/A2_B1_P9_2022-07-11_IR2_4_01055,P9,IR2,IR2,10,4,0,P9-C82328,P9-C83734,0,test,train,12,0.9011,0.9000~0.9079,P9|IR2|diff|0.9000~0.9079
pair_0041,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_07246.jpg,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_08680.jpg,P1/A2_B1_P1_2022-07-11_IR3_07246,P1/A2_B1_P1_2022-07-11_IR3_08680,P1,IR3,IR3,,,1,P1-C31051,P1-C31797,0,train,test,16,0.9272,0.9228~0.9300,P1|IR3|same|0.9228~0.9300
pair_0042,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_3_02157.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_05043.jpg,P1/A2_B1_P1_2022-07-11_IR2_3_02157,P1/A3_B4_P1_2022-07-15_IR2_05043,P1,IR2,IR2,3,,0,P1-C22209,P1-C44834,0,val,train,16,0.9062,0.9000~0.9079,P1|IR2|diff|0.9000~0.9079
pair_0043,P4-MOF&PT반/A1_B1_P4_2022-07-19_IR2_01331.jpg,P4-MOF&PT반/A1_B1_P4_2022-07-19_IR2_01417.jpg,P4/A1_B1_P4_2022-07-19_IR2_01331,P4/A1_B1_P4_2022-07-19_IR2_01417,P4,IR2,IR2,,,1,P4-C52046,P4-C52078,0,train,test,12,0.9189,0.9155~0.9228,P4|IR2|same|0.9155~0.9228
pair_0044,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_07740.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_6_01768.jpg,P9/A1_B2_P9_2022-07-19_IR2_07740,P9/A2_B1_P9_2022-07-11_IR2_6_01768,P9,IR2,IR2,,6,0,P9-C80158,P9-C84504,0,train,val,14,0.9099,0.9079~0.9155,P9|IR2|diff|0.9079~0.9155
pair_0045,P1-TR반/A3_B5_P1_2022-07-01_IR3_03980.jpg,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-19_IR3_02959.jpg,P1/A3_B5_P1_2022-07-01_IR3_03980,P1/A1_B1_P1_2022-07-19_IR3_02959,P1,IR3,IR3,,,1,P1-C4820,P1-C7667,0,test,train,12,0.9269,0.9228~0.9300,P1|IR3|same|0.9228~0.9300
pair_0046,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03108.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_04339.jpg,P1/A3_B4_P1_2022-07-15_IR2_03108,P1/A3_B4_P1_2022-07-15_IR2_04339,P1,IR2,IR2,,,1,P1-C44184,P1-C44403,0,val,train,14,0.9248,0.9228~0.9300,P1|IR2|same|0.9228~0.9300
pair_0047,P6-VCB반/A1_B3_P6_2022-07-19_IR2_01090.jpg,P6-VCB반/A1_B3_P6_2022-07-19_IR2_01238.jpg,P6/A1_B3_P6_2022-07-19_IR2_01090,P6/A1_B3_P6_2022-07-19_IR2_01238,P6,IR2,IR2,,,1,P6-C63215,P6-C63295,0,train,val,12,0.9118,0.9079~0.9155,P6|IR2|same|0.9079~0.9155
pair_0048,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_02747.jpg,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_05742.jpg,P9/A3_B2_P9_2022-07-15_IR2_02747,P9/A3_B2_P9_2022-07-15_IR2_05742,P9,IR2,IR2,,,1,P9-C91189,P9-C92334,0,test,train,16,0.9274,0.9228~0.9300,P9|IR2|same|0.9228~0.9300
pair_0049,P2-LBS&LA반/A1_B1_P2_2022-07-27_IR2_00051.jpg,P2-LBS&LA반/A1_B1_P2_2022-07-27_IR2_00955.jpg,P2/A1_B1_P2_2022-07-27_IR2_00051,P2/A1_B1_P2_2022-07-27_IR2_00955,P2,IR2,IR2,,,1,P2-C48193,P2-C48226,0,val,train,14,0.9246,0.9228~0.9300,P2|IR2|same|0.9228~0.9300
pair_0050,P6-VCB반/A1_B2_P6_2022-07-19_IR3_00414.jpg,P6-VCB반/A1_B2_P6_2022-07-19_IR3_00732.jpg,P6/A1_B2_P6_2022-07-19_IR3_00414,P6/A1_B2_P6_2022-07-19_IR3_00732,P6,IR3,IR3,,,1,P6-C62619,P6-C62663,0,val,train,10,0.9241,0.9228~0.9300,P6|IR3|same|0.9228~0.9300
pair_0051,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_04002.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_05063.jpg,P1/A3_B4_P1_2022-07-15_IR2_04002,P1/A3_B4_P1_2022-07-15_IR2_05063,P1,IR2,IR2,,,1,P1-C44451,P1-C44837,0,test,train,10,0.9214,0.9155~0.9228,P1|IR2|same|0.9155~0.9228
pair_0052,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_6_02036.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_9_00408.jpg,P9/A2_B1_P9_2022-07-11_IR2_6_02036,P9/A2_B1_P9_2022-07-11_IR2_9_00408,P9,IR2,IR2,6,9,0,P9-C84343,P9-C85266,0,train,test,12,0.9126,0.9079~0.9155,P9|IR2|diff|0.9079~0.9155
pair_0053,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR2_00697.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_02696.jpg,P1/A1_B2_P1_2022-07-19_IR2_00697,P1/A3_B4_P1_2022-07-15_IR2_02696,P1,IR2,IR2,,,1,P1-C9588,P1-C43989,0,val,train,14,0.9129,0.9079~0.9155,P1|IR2|same|0.9079~0.9155
pair_0054,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_01625.jpg,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_01645.jpg,P9/A3_B2_P9_2022-07-15_IR2_01625,P9/A3_B2_P9_2022-07-15_IR2_01645,P9,IR2,IR2,,,1,P9-C90720,P9-C90681,0,train,test,8,0.9235,0.9228~0.9300,P9|IR2|same|0.9228~0.9300
pair_0055,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03289.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_04071.jpg,P1/A3_B4_P1_2022-07-15_IR2_03289,P1/A3_B4_P1_2022-07-15_IR2_04071,P1,IR2,IR2,,,1,P1-C44235,P1-C44203,0,test,train,16,0.9207,0.9155~0.9228,P1|IR2|same|0.9155~0.9228
pair_0056,P9-MCCB반/A3_B4_P9_2022-07-15_IR3_00271.jpg,P9-MCCB반/A3_B4_P9_2022-07-15_IR3_00314.jpg,P9/A3_B4_P9_2022-07-15_IR3_00271,P9/A3_B4_P9_2022-07-15_IR3_00314,P9,IR3,IR3,,,1,P9-C97345,P9-C97374,0,train,val,10,0.9011,0.9000~0.9079,P9|IR3|same|0.9000~0.9079
pair_0057,P6-VCB반/A2_B1_P6_2022-07-11_IR3_01904.jpg,P6-VCB반/A2_B1_P6_2022-07-11_IR3_02951.jpg,P6/A2_B1_P6_2022-07-11_IR3_01904,P6/A2_B1_P6_2022-07-11_IR3_02951,P6,IR3,IR3,,,1,P6-C65145,P6-C65404,0,train,test,16,0.9224,0.9155~0.9228,P6|IR3|same|0.9155~0.9228
pair_0058,P9-MCCB반/A1_B1_P9_2022-07-27_IR2_00160.jpg,P9-MCCB반/A1_B1_P9_2022-07-27_IR2_00272.jpg,P9/A1_B1_P9_2022-07-27_IR2_00160,P9/A1_B1_P9_2022-07-27_IR2_00272,P9,IR2,IR2,,,1,P9-C77185,P9-C77226,0,train,test,14,0.9077,0.9000~0.9079,P9|IR2|same|0.9000~0.9079
pair_0059,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_06459.jpg,P1-TR반/New Folder With Items/A3_B1_P1_2022-07-01_IR3_02136.jpg,P1/A2_B1_P1_2022-07-11_IR3_06459,P1/A3_B1_P1_2022-07-01_IR3_02136,P1,IR3,IR3,,,1,P1-C30623,P1-C33883,0,train,val,4,0.9206,0.9155~0.9228,P1|IR3|same|0.9155~0.9228
pair_0060,P5-PF&PT반/A1_B2_P5_2022-07-19_IR2_05209.jpg,P5-PF&PT반/A2_B1_P5_2022-07-11_IR2_2_00645.jpg,P5/A1_B2_P5_2022-07-19_IR2_05209,P5/A2_B1_P5_2022-07-11_IR2_2_00645,P5,IR2,IR2,,2,0,P5-C55125,P5-C57581,0,train,test,10,0.901,0.9000~0.9079,P5|IR2|diff|0.9000~0.9079
pair_0061,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_3_00143.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_6_01893.jpg,P9/A2_B1_P9_2022-07-11_IR2_3_00143,P9/A2_B1_P9_2022-07-11_IR2_6_01893,P9,IR2,IR2,3,6,0,P9-C83101,P9-C84427,0,test,train,16,0.9232,0.9228~0.9300,P9|IR2|diff|0.9228~0.9300
pair_0062,P9-MCCB반/A1_B3_P9_2022-07-19_IR3_00113.jpg,P9-MCCB반/A1_B3_P9_2022-07-19_IR3_00148.jpg,P9/A1_B3_P9_2022-07-19_IR3_00113,P9/A1_B3_P9_2022-07-19_IR3_00148,P9,IR3,IR3,,,1,P9-C81988,P9-C82004,0,test,train,14,0.9184,0.9155~0.9228,P9|IR3|same|0.9155~0.9228
pair_0063,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR3_02635.jpg,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_04451.jpg,P1/A1_B3_P1_2022-07-19_IR3_02635,P1/A2_B1_P1_2022-07-11_IR3_04451,P1,IR3,IR3,,,1,P1-C16794,P1-C7741,0,test,train,12,0.9027,0.9000~0.9079,P1|IR3|same|0.9000~0.9079
pair_0064,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR3_01806.jpg,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR3_02451.jpg,P1/A1_B2_P1_2022-07-19_IR3_01806,P1/A1_B3_P1_2022-07-19_IR3_02451,P1,IR3,IR3,,,1,P1-C12190,P1-C12182,0,val,train,16,0.9096,0.9079~0.9155,P1|IR3|same|0.9079~0.9155
pair_0065,P10-ACB&MCCB반/A1_B1_P10_2022-07-19_IR2_00960.jpg,P10-ACB&MCCB반/A1_B1_P10_2022-07-19_IR2_01121.jpg,P10/A1_B1_P10_2022-07-19_IR2_00960,P10/A1_B1_P10_2022-07-19_IR2_01121,P10,IR2,IR2,,,1,P10-C98866,P10-C98963,0,test,train,10,0.9281,0.9228~0.9300,P10|IR2|same|0.9228~0.9300
pair_0066,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_00842.jpg,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_03872.jpg,P1/A2_B1_P1_2022-07-11_IR3_00842,P1/A2_B1_P1_2022-07-11_IR3_03872,P1,IR3,IR3,,,1,P1-C27557,P1-C29318,0,train,val,14,0.9104,0.9079~0.9155,P1|IR3|same|0.9079~0.9155
